144087,马男波杰克2,Bojack Horseman Season 2,306,8.0
3166,超时空要塞,超時空要塞マクロス,308,7.9
16621,南方公园 第15季,South Park Season 15,311,8.0
14220,少年同盟,君と僕。,312,7.9
118335,进击的巨人 第二季,進撃の巨人 Season 2,313,7.9
4010,剑豪生死斗,シグルイ,314,7.9
91205,高分少女,ハイスコアガール,315,7.9
9853,灵异E接触,レベルE,316,7.9
337,全金属狂潮 The Second Raid,フルメタル・パニック! The Second Raid,317,7.9
2921,相聚一刻,めぞん一刻,320,8.0
1981,蓝宝石之谜,ふしぎの海のナディア,321,7.9
214265,少女☆歌剧 Revue Starlight,少女☆歌劇 レヴュースタァライト,323,7.9
6390,游戏王－怪兽之决斗,遊☆戯☆王デュエルモンスターズ,324,7.9
697,THE BIG-O,THE ビッグオー,325,7.9
115661,鲁邦三世,ルパン三世,329,7.9
88433,寄生兽 生命的准则,寄生獣 セイの格率,331,7.9
3304,神枪少女,GUNSLINGER GIRL,332,7.9
1038,超智游戏,ONE OUTS -ワンナウツ-,334,7.9
2459,搞笑漫画日和3,ギャグマンガ日和3,335,7.9
8484,机动警察,機動警察パトレイバー,336,7.9
979,黑礁,BLACK LAGOON,337,7.9
252655,佐贺偶像是传奇,ゾンビランドサガ,338,7.9
100449,月刊少女野崎君,月刊少女野崎くん,341,7.8
186881,马男波杰克3,Bojack Horseman Season 3,342,8.0
105255,希德尼娅的骑士 第九惑星战役,シドニアの騎士 第九惑星戦役,344,7.9
10553,监狱兔 第四季,Usavich Season 4,345,7.9
129807,命运石之门 0,シュタインズ・ゲート ゼロ,346,7.9
3291,热带雨林的爆笑生活,ジャングルはいつもハレのちグゥ,347,7.9
37685,心理测量者,PSYCHO-PASS サイコパス,349,7.8
2460,搞笑漫画日和2,ギャグマンガ日和2,350,7.9
89536,小马驹G4 第四季,My Little Pony: Friendship Is Magic : S4,351,8.0
284,草莓棉花糖,苺ましまろ,352,7.9
12317,赌博默示录 破戒录篇,逆境無頼カイジ 破戒録篇,354,7.8
921,最终流放,LAST EXILE,357,7.8
207573,月色真美,月がきれい,358,7.8
300,俗・再见绝望先生,俗・さよなら絶望先生,360,7.8
76319,南方公园 第17季,South Park Season 17,362,8.0
2127,AIR 夏季篇,AIR IN SUMMER,363,7.8
513,听到涛声,海がきこえる,364,7.8
2166,乌龙派出所,こちら葛飾区亀有公園前派出所,365,8.0
28065,飞出个未来 第1季,Futurama (Season 1),366,8.0
10385,TIGER & BUNNY,,368,7.8
221726,妖精森林的小不点,ハクメイとミコチ,370,7.8
10197,南方公园 第14季,South Park Season 14,373,8.0
248175,辉夜大小姐想让我告白～天才们的恋爱头脑战～,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,374,7.8
14106,苍穹之法芙娜 RIGHT OF LEFT,蒼穹のファフナー RIGHT OF LEFT,376,7.9
1219,现视研2,げんしけん2,377,7.8
1321,圣母在上 第4季,マリア様がみてる 4thシーズン,380,7.9
4884,星游记,星游记,381,7.8
228046,拥抱！光之美少女,HUGっと! プリキュア,382,7.9
2439,×××HOLiC,,384,7.8
10392,银河铁道999,銀河鉄道999,386,8.0
282,狼与香辛料,狼と香辛料,387,7.8
176478,兽娘动物园,けものフレンズ,388,7.8
8803,幽游白书,幽☆遊☆白書,390,7.8
4301,星界的纹章,星界の紋章,391,7.9
36359,鲁邦三世 第二期,ルパン三世,392,8.1
77476,希德尼娅的骑士,シドニアの騎士,395,7.8
285666,进击的巨人 最终季,進撃の巨人 The Final Season,397,7.8
158316,灵能百分百,モブサイコ100,398,7.8
124649,马男波杰克,Bojack Horseman,400,7.9
4215,圣母在上 春,マリア様がみてる 〜春〜,401,7.8
2094,秀逗魔导士,スレイヤーズ,402,7.8
299,再见绝望先生,さよなら絶望先生,403,7.8
274234,小林家的龙女仆S,小林さんちのメイドラゴンS,405,7.8
118262,花园墙外,Over the Garden Wall,407,8.0
977,阿滋漫画大王,あずまんが大王 THE ANIMATION,408,7.8
928,现视研,げんしけん,409,7.8
10419,第一神拳,はじめの一歩,410,8.0
10436,战国鬼才传,へうげもの,411,7.8
1609,游戏王5D's,遊☆戯☆王ファイブディーズ,413,7.8
274,Kanon,,414,7.8
4035,摇滚新乐团,BECK,417,7.8
47665,鼹鼠的故事,Krtek,418,7.8
294836,NOMAD MEGALO BOX 2,NOMAD メガロボクス2,419,7.8
